nuts1_region,country_code,trust_index,voting_behavior_manifest,radical_right_vote,immigrants_impact_country,educ_attainment,gender,age,delta_nuts1_gdp_percap_pps_pct_eu_avg_5yr,delta_nuts1_unemployment_rate_5yr,delta_nuts1_net_migration_2yr,cluster_k6
EL6,GR,2.6666666666666665,Ineligible / Not Applicable,,5.0,4.0,1,44.0,1,-7.300001,1.2,0
EL3,GR,5.0,Ineligible / Not Applicable,,7.0,4.0,1,44.0,1,-11.6,-0.5,4
EL6,GR,2.0,Refuse to Say,,1.0,4.0,0,44.0,1,-7.300001,1.2,0
EL3,GR,2.3333333333333335,Valid Party Vote,0.0,5.0,4.0,1,31.0,1,-11.6,-0.5,4
EL5,GR,2.6666666666666665,Refuse to Say,,3.0,6.0,1,47.0,0,-8.2,3.4,0
EL5,GR,3.3333333333333335,Valid Party Vote,0.0,3.0,6.0,0,31.0,0,-8.2,3.4,0
EL5,GR,5.0,Valid Party Vote,0.0,3.0,1.0,1,87.0,0,-8.2,3.4,0
EL3,GR,6.0,Valid Party Vote,0.0,8.0,1.0,0,78.0,1,-11.6,-0.5,4
EL4,GR,2.6666666666666665,Valid Party Vote,0.0,7.0,6.0,1,53.0,-3,-6.3999996,0.3,0
EL5,GR,3.6666666666666665,Valid Party Vote,0.0,2.0,7.0,0,55.0,0,-8.2,3.4,0
